source,filename,old_label,old_status,old_engine,old_score,old_evidence,new_label,new_status,new_score,new_runner_up_score,new_layer,new_evidence,changed
/Users/billcipher/Documents/(Phạm Văn Trọng) CHƯƠNG I. Phần 1. Ester.pdf,(Phạm Văn Trọng) CHƯƠNG I. Phần 1. Ester,Hoa_hoc,subject,filename,30.0,filename:ester x1=30.0,Hoa_hoc,subject,44.0,0.0,accentless,accentless:ester x1=44.0,False
/Users/billcipher/Documents/(TỜ 28) ĐB. Chương 5. Phần 2. ALCOHOL.pdf,(TỜ 28) ĐB. Chương 5. Phần 2. ALCOHOL,Hoa_hoc,subject,filename,27.5,filename:alcohol x1=27.5,Hoa_hoc,subject,34.0,0.0,accented,accented:alcohol x1=34.0,False
/Users/billcipher/Documents/(TỜ 29) ĐB. Chương 5. Phần 3. PHENOL.pdf,(TỜ 29) ĐB. Chương 5. Phần 3. PHENOL,Hoa_hoc,subject,filename,30.0,filename:phenol x1=30.0,Hoa_hoc,subject,34.0,0.0,accented,accented:phenol x1=34.0,False
/Users/billcipher/Documents/(TỜ 35) ĐB. Chương 6. Phần 1. Hợp chất carbonyl.pdf,(TỜ 35) ĐB. Chương 6. Phần 1. Hợp chất carbonyl,Hoa_hoc,subject,pdfplumber,1141.0,body:hoa hoc x10=160.0; body:phan ung oxi hoa khu x1=15.0; body:phuong trinh hoa hoc x9=126.0; body:naoh x8=96.0; body:cuo x3=30.0; body:lien ket hydrogen x1=13.0; body:alcohol x7=77.0; body:phenol x1=12.0; body:aldehyde x35=420.0; body:ketone x16=192.0,Hoa_hoc,subject,44.0,0.0,accentless,accentless:carbonyl x1=44.0,False
/Users/billcipher/Documents/(TỜ 36) ĐB. Chương 6. Phần 2. Carboxylic acid.pdf,(TỜ 36) ĐB. Chương 6. Phần 2. Carboxylic acid,Hoa_hoc,subject,filename,30.0,filename:carboxylic acid x1=30.0,Hoa_hoc,subject,61.36,0.0,accentless,accentless:carboxylic acid x1=61.4,False
/Users/billcipher/Documents/(TỜ 6.3) HÓA 12-CHƯƠNG 1-ESTER-LIPID -ĐỀ LUYỆN TẬP ESTER SỐ 03-Đề.pdf,(TỜ 6.3) HÓA 12-CHƯƠNG 1-ESTER-LIPID -ĐỀ LUYỆN TẬP ESTER SỐ 03-Đề,Hoa_hoc,subject,filename,60.0,filename:ester x2=60.0,Hoa_hoc,subject,38.0,0.0,accented,accented:hóa x1=38.0,False
/Users/billcipher/Documents/(TỜ 7.1) 68 CÂU LÝ THUYẾT HÓA HỌC CHUYÊN BIỆT ESTER-ĐỀ.pdf,(TỜ 7.1) 68 CÂU LÝ THUYẾT HÓA HỌC CHUYÊN BIỆT ESTER-ĐỀ,Hoa_hoc,subject,filename,130.0,filename:hoa hoc x1=40.0; filename:ester x1=30.0; filename_alias:hoa x1=30.0; filename_alias:hoa hoc x1=30.0,Hoa_hoc,subject,64.9,0.0,accented,accented:hóa học x1=64.9,False
/Users/billcipher/Documents/(TỜ 71) 68 CÂU LÝ THUYẾT HÓA HỌC CHUYÊN BIỆT ESTER-ĐỀ.docx,(TỜ 71) 68 CÂU LÝ THUYẾT HÓA HỌC CHUYÊN BIỆT ESTER-ĐỀ,Hoa_hoc,subject,filename,130.0,filename:hoa hoc x1=40.0; filename:ester x1=30.0; filename_alias:hoa x1=30.0; filename_alias:hoa hoc x1=30.0,Hoa_hoc,subject,64.9,0.0,accented,accented:hóa học x1=64.9,False
/Users/billcipher/Documents/093208001499 - PT2 - CNĐG - .pdf,093208001499 - PT2 - CNĐG - ,_Khong_xac_dinh,unknown,none,0.0,,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,False
"/Users/billcipher/Documents/1. EBOOK CHINH PHỤC HÀM SỐ TOÁN 12 TỪ A-Z, ANH GIÁO KID.pdf","1. EBOOK CHINH PHỤC HÀM SỐ TOÁN 12 TỪ A-Z, ANH GIÁO KID",Toan,subject,filename,52.5,filename:ham so x1=22.5; filename_alias:toan x1=30.0,Toan,subject,40.0,0.0,accented,accented:toán x1=40.0,False
/Users/billcipher/Documents/1.pdf,1,Ngu_van,subject,pdfplumber,31.0,body:cot truyen x2=20.0; body:tuồng x1=11.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/10. HĐ PHÍ MG.docx,10. HĐ PHÍ MG,_Khong_phai_mon_hoc,non_subject,docx,0.0,body:hop dong x7=63.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/100 Câu lí thuyết chống sai ngu giữa kì 1 - Vật Lí 12.pdf,100 Câu lí thuyết chống sai ngu giữa kì 1 - Vật Lí 12,Vat_ly,subject,filename,70.0,filename:vat li x1=40.0; filename_alias:vat li x1=30.0,Vat_ly,subject,59.0,0.0,accented,accented:vật lí x1=59.0,False
/Users/billcipher/Documents/155_A4.pdf,155_A4,_Khong_xac_dinh,unknown,none,0.0,,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,False
/Users/billcipher/Documents/1755491360481.pdf,1755491360481,Toan,subject,pdfplumber,64.0,body:hinh hoc x1=10.0; body:xac suat x3=30.0; body:chinh hop x2=24.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/2 DS niem yet THPT hoan chinh 2023 2024 Ct.pdf,2 DS niem yet THPT hoan chinh 2023 2024 Ct,Ngu_van,subject,pdfplumber,242.0,body:ngu van x2=32.0; body:mon van x6=108.0; body:mon ngu van x2=36.0; body:tuồng x6=66.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
"/Users/billcipher/Documents/2. EBOOK TƯ DUY MỞ 2025 CHINH PHỤC HÌNH HỌC KHÔNG GIAN, THẦY NGUYỄN ĐĂNG ÁI.pdf","2. EBOOK TƯ DUY MỞ 2025 CHINH PHỤC HÌNH HỌC KHÔNG GIAN, THẦY NGUYỄN ĐĂNG ÁI",Toan,subject,filename,55.0,filename:hinh hoc x1=25.0; filename_alias:hinh hoc x1=30.0,Toan,subject,40.12,0.0,accented,accented:hình học x1=40.1,False
/Users/billcipher/Documents/2022_2023 KQ HSG cap tinh THCS khoa 01_3_2023.pdf,2022_2023 KQ HSG cap tinh THCS khoa 01_3_2023,_Can_kiem_tra,conflict,pdfplumber,24.0,body:ho chi minh x2=24.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/2024 2025_KQ thi chon doi tuyen.pdf,2024 2025_KQ thi chon doi tuyen,Ngu_van,subject,pdfplumber,22.0,body:tuồng x2=22.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/20_11.docx,20_11,_Can_kiem_tra,conflict,docx,12.0,body:ho chi minh x1=12.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/21. BIÊN BẢN BÀN GIAO NHÀ.docx,21. BIÊN BẢN BÀN GIAO NHÀ,_Khong_phai_mon_hoc,non_subject,docx,0.0,filename:bien ban x1=20.0; body:bien ban x2=16.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/2223-tht-binhdinh.pdf,2223-tht-binhdinh,_Khong_xac_dinh,unknown,none,0.0,,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,False
/Users/billcipher/Documents/2223-tht-chauthanh-3.pdf,2223-tht-chauthanh-3,_Khong_xac_dinh,unknown,none,0.0,,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,False
/Users/billcipher/Documents/22_11 BÁO CÁO NGHIÊN CỨU KHOA HỌC KỸ THUẬT.docx,22_11 BÁO CÁO NGHIÊN CỨU KHOA HỌC KỸ THUẬT,Tin_hoc,subject,docx,1154.0,body:tin hoc x4=64.0; body:lap trinh x13=169.0; body:ngon ngu lap trinh x6=84.0; body:thuat toan x3=42.0; body:python x26=286.0; body:cau truc du lieu x5=70.0; body:co so du lieu x16=208.0; body:truy van du lieu x1=13.0; body:html x2=20.0; body:tin hoc ung dung x1=14.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/2323.tht.châu thành.bộ test.pdf,2323.tht.châu thành.bộ test,_Khong_xac_dinh,unknown,none,0.0,,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,False
/Users/billcipher/Documents/27. BIÊN BẢN BÀN GIAO GIẤY TỜ (chủ nhà bàn giao khách mua).docx,27. BIÊN BẢN BÀN GIAO GIẤY TỜ (chủ nhà bàn giao khách mua),_Khong_phai_mon_hoc,non_subject,docx,0.0,filename:bien ban x1=20.0; body:bien ban x2=16.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/27. BIÊN BẢN GIAO NHẬN GIẤY TỜ (pháp lý).docx,27. BIÊN BẢN GIAO NHẬN GIẤY TỜ (pháp lý),_Khong_phai_mon_hoc,non_subject,docx,0.0,filename:bien ban x1=20.0; body:bien ban x2=16.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/29. VĂN BẢN THỎA THUẬN VỀ VIỆC THUÊ NHÀ.docx,29. VĂN BẢN THỎA THUẬN VỀ VIỆC THUÊ NHÀ,_Khong_phai_mon_hoc,non_subject,docx,0.0,body:hop dong x8=72.0; body:bien ban x1=8.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/2CHIlH-[MITA] - ĐỀ ĐẠI THẮNG VACT - File đề.pdf,2CHIlH-[MITA] - ĐỀ ĐẠI THẮNG VACT - File đề,Toan,subject,pdfplumber,47.0,body:bat phuong trinh x1=11.0; body:oxyz x1=14.0; body:cap so cong x1=11.0; body:cap so nhan x1=11.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
"/Users/billcipher/Documents/3. EBOOK TƯ DUY MỞ 2025 CHINH PHỤC KHÔNG GIAN OXYZ, THẦY NGUYỄN ĐĂNG ÁII.pdf","3. EBOOK TƯ DUY MỞ 2025 CHINH PHỤC KHÔNG GIAN OXYZ, THẦY NGUYỄN ĐĂNG ÁII",Toan,subject,filename,35.0,filename:oxyz x1=35.0,Toan,subject,42.0,0.0,accentless,accentless:oxyz x1=42.0,False
/Users/billcipher/Documents/3. EBOOK VẬT LÝ 12 LẬP TRÌNH TƯ DUY VẬT LÝ  NHIỆT SGK MỚI.pdf,3. EBOOK VẬT LÝ 12 LẬP TRÌNH TƯ DUY VẬT LÝ  NHIỆT SGK MỚI,Vat_ly,subject,filename,200.0,filename:vat ly x2=80.0; filename_alias:ly x2=60.0; filename_alias:vat ly x2=60.0,Vat_ly,subject,118.0,49.56,accented,accented:vật lý x2=118.0,False
/Users/billcipher/Documents/30. VB TỪ CHỐI QUYỀN ƯU TIÊN MUA NHÀ Ở ĐANG CHO THUÊ (Cá nhân thuê).docx,30. VB TỪ CHỐI QUYỀN ƯU TIÊN MUA NHÀ Ở ĐANG CHO THUÊ (Cá nhân thuê),_Khong_phai_mon_hoc,non_subject,docx,0.0,body:hop dong x2=18.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/31. PHỤ LỤC HĐ VỀ VIỆC THOẢ THUẬN ĐỂ LẠI TÀI SẢN NỘI THẤT KHI MUA BÁN NHÀ.docx,31. PHỤ LỤC HĐ VỀ VIỆC THOẢ THUẬN ĐỂ LẠI TÀI SẢN NỘI THẤT KHI MUA BÁN NHÀ,_Khong_phai_mon_hoc,non_subject,docx,11.0,body:hop dong x9=81.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/60 ĐỀ THI THỬ NẮM CHẮC TỪ 1 - 8 ĐIỂM _ TOÁN & VẬT LÍ.pdf,60 ĐỀ THI THỬ NẮM CHẮC TỪ 1 - 8 ĐIỂM _ TOÁN & VẬT LÍ,Vat_ly,subject,filename,70.0,filename:vat li x1=40.0; filename_alias:vat li x1=30.0,Vat_ly,subject,59.0,40.0,accented,accented:vật lí x1=59.0,False
